file	line	old_label	new_label
contents/1-introduction_cleaned.tex	7	ch:introduction	sec:ch1-preface
contents/1-introduction_cleaned.tex	10	sec:intro-background	sec:ch1-1-research-background-and-significance
contents/1-introduction_cleaned.tex	14	sec:ch1.1.1	sec:ch1-1-1-deep-learning-overview
contents/1-introduction_cleaned.tex	37	sec:Ch1-deep-model-construction-machanisam	sec:ch1-1-2-deep-model-mechanisms-and-key-steps
contents/1-introduction_cleaned.tex	60		sec:ch1-1-3-research-problem-and-goals
contents/1-introduction_cleaned.tex	91	sec:intro-review	sec:ch1-2-global-research-status
contents/1-introduction_cleaned.tex	100		sec:ch1-2-1-knowledge-transfer-status-limitations
contents/1-introduction_cleaned.tex	120		sec:ch1-2-2-structural-transfer-status-limitations
contents/1-introduction_cleaned.tex	139		sec:ch1-2-3-parameter-transfer-status-limitations
contents/1-introduction_cleaned.tex	160		sec:ch1-2-4-summary-and-opportunities
contents/1-introduction_cleaned.tex	186	sec:research-motivation-and-overall-approach	sec:ch1-3-research-motivation-and-overview
contents/1-introduction_cleaned.tex	191		sec:ch1-3-1-efficiency-bottleneck-motivation
contents/1-introduction_cleaned.tex	204		sec:ch1-3-2-research-idea-and-structure
contents/1-introduction_cleaned.tex	222	sec:research-questions-and-contributions	sec:ch1-4-core-questions-and-contributions
contents/1-introduction_cleaned.tex	227		sec:ch1-4-1-core-scientific-question
contents/1-introduction_cleaned.tex	246		sec:ch1-4-2-main-contributions-overview
contents/1-introduction_cleaned.tex	258	sec:organization-of-the-thesis	sec:ch1-5-thesis-structure
contents/2-related-work_cleaned.tex	7	sec:ch2-preliminary	sec:ch2-theoretical-foundations
contents/2-related-work_cleaned.tex	12		sec:ch2-1-introduction
contents/2-related-work_cleaned.tex	21		sec:ch2-2-knowledge-transfer-core-ideas
contents/2-related-work_cleaned.tex	36		sec:ch2-3-formalizing-key-problem-domain
contents/2-related-work_cleaned.tex	41		sec:ch2-3-1-few-shot-learning-and-distillation
